Years,States,Total women with births,Birth rate,General fertility rate,Total fertility rate,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Percent of women in labor force,Teenage pregnancy,Teenage birth Rate
2017,United States,3994223,12.4,52.3,1.88,13105452,16069512,24932063,14765055,7544846,72,157388,15
2017,Alabama,58732,12.1,51.0,1.84,211597,271194,403874,176743,87115,67.6,2903,18
2017,Alaska,10582,14.3,60.8,2.19,26089,41031,60978,32478,13587,74.2,408,18
2017,Arizona,85196,12.5,54.2,1.95,319514,330941,545369,256268,118911,69.1,3290,15
2017,Arkansas,40901,13.7,59.3,2.14,123583,178504,240093,99859,47491,67.9,2514,26
2017,California,478458,12.3,49.6,1.79,1960608,1823766,3079864,1861392,917215,68.4,16079,13
2017,Colorado,69064,12.7,52.6,1.89,203685,232370,409682,314878,153519,74.9,2404,14
2017,Connecticut,36794,10.2,43.8,1.58,122186,166055,246719,184945,120251,76.1,1164,10
2017,Delaware,10598,11.2,48.4,1.74,35162,53169,66664,39430,24671,73.4,271,9
2017,District of Columbia,9567,14.2,47.1,1.69,19432,30576,41084,52311,59881,78.3,328,17
2017,Florida,220509,10.9,48.3,1.74,753345,1064256,1555740,826216,368964,71.7,7831,14
2017,Georgia,136101,13.3,53.3,1.92,458915,556968,826647,461302,251628,70.5,6976,20
2017,Hawaii,19748,13.9,61.4,2.21,37488,76482,111044,67604,28756,73.2,520,14
2017,Idaho,22877,13.8,60.8,2.19,64480,86385,140494,63881,21103,69.2,810,14
2017,Illinois,156704,12.2,50.7,1.82,500117,599863,973087,658725,360036,74.2,5474,13
2017,Indiana,83517,12.6,53.8,1.94,277788,363496,526887,276987,107556,73,3805,17
2017,Iowa,41743,13.4,59.5,2.14,102307,131889,267735,145350,54693,79.7,1689,16
2017,Kansas,39414,13.6,59.5,2.14,109329,118993,235327,135765,63039,75,1687,17
2017,Kentucky,55402,12.5,53.8,1.94,173118,248369,366944,153971,88159,70.5,3028,21
2017,Louisiana,60549,13.0,54.1,1.95,206741,292844,363819,179745,75766,69.3,3272,22
2017,Maine,14100,10.6,48.6,1.75,36606,69503,98390,59720,25696,76.7,336,8
2017,Maryland,74140,12.4,50.7,1.83,214778,283119,425848,311691,226069,76.7,2626,14
2017,Massachusetts,76567,11.3,45.9,1.65,226258,299888,462218,405085,275494,76.8,1512,7
2017,Michigan,120630,12.2,52.8,1.90,356923,469624,847458,404102,206317,73.3,4897,15
2017,Minnesota,73295,13.3,57.8,2.08,180773,204765,444174,305286,133874,81.4,2101,12
2017,Mississippi,37818,12.7,52.9,1.90,131707,162156,274057,96647,50225,67.8,2383,23
2017,Missouri,76296,12.6,54.2,1.95,223898,299790,488649,261686,133229,74.6,3489,18
2017,Montana,12139,11.8,54.5,1.96,31714,51357,76436,44834,18480,74.8,446,14
2017,Nebraska,27898,14.7,64.5,2.32,70046,73437,158258,92124,38728,78.7,730,12
2017,Nevada,35640,12.3,51.8,1.86,141295,173573,233145,97363,42737,72.6,1283,15
2017,New Hampshire,15210,11.4,50.5,1.82,37999,62945,97133,67489,35501,77.7,371,9
2017,New Jersey,100779,11.2,47.6,1.71,322286,434028,573834,514651,274146,72.8,1967,7
2017,New Mexico,26525,12.7,56.0,2.02,97335,102835,173011,63084,37072,67.4,1668,25
2017,New York,228874,11.6,47.0,1.69,803937,941715,1379181,1053055,689311,71.5,6271,10
2017,North Carolina,121971,12.1,50.4,1.82,406430,463335,848032,476497,224036,72.1,5235,16
2017,North Dakota,11410,15.3,67.6,2.43,20206,30404,65147,40602,12433,79.9,517,23
2017,Ohio,141773,12.2,53.2,1.91,421157,623001,900857,476315,245890,74.9,6130,16
2017,Oklahoma,53590,13.8,59.2,2.13,165502,224239,310410,148564,55820,69.2,2937,23
2017,Oregon,46891,11.6,50.0,1.80,152767,176671,329831,184324,94407,73,1699,14
2017,Pennsylvania,147285,11.5,50.5,1.82,432358,716883,862722,586846,317668,73.8,5872,14
2017,Rhode Island,11841,11.2,46.6,1.68,37389,55548,84464,50482,26428,75.5,474,13
2017,South Carolina,61725,12.6,53.8,1.94,193358,261693,404656,193070,95512,72.5,2488,16
2017,South Dakota,12697,14.8,68.0,2.45,29005,37605,67978,38957,13209,79,518,19
2017,Tennessee,80791,12.2,51.5,1.85,252394,405774,506044,270519,133973,71.1,4526,22
2017,Texas,397530,14.5,58.5,2.10,1440460,1470981,2156977,1211873,519730,68.2,21768,23
2017,Utah,52639,17.6,70.7,2.54,123594,149964,286751,141492,42947,69.2,1263,11
2017,Vermont,6042,9.7,42.9,1.54,17368,30743,45078,31622,16023,77.5,170,8
2017,Virginia,105067,12.6,51.7,1.86,291315,387522,635256,442578,274147,74,3410,13
2017,Washington,92040,12.8,54.1,1.95,268559,318910,581163,359238,172397,71.5,2729,13
2017,West Virginia,19682,10.7,48.9,1.76,65274,120185,134152,55062,27933,65,962,18
2017,Wisconsin,67517,11.7,51.4,1.85,188926,272693,466782,270496,113458,79.6,1782,9
2017,Wyoming,7365,12.6,57.0,2.05,18351,27475,51920,21851,9615,75.8,375,21
2017,Puerto Rico,29668,8.6,35.4,1.27,138964,186207,274358,178546,61155,56.8,3046,26
2016,United States,4001559,12.6,52.5,1.89,13274104,16157389,25176557,14443272,7235643,71.8,177413,17
2016,Alabama,59424,12.3,51.5,1.85,213979,271194,409706,175546,84556,67.7,3465,22
2016,Alaska,10518,14.3,60.1,2.16,26616,42415,60723,32162,13186,74,429,19
2016,Arizona,84496,12.6,54.3,1.95,320346,327591,548227,248188,113042,68.8,3569,16
2016,Arkansas,39828,13.4,57.7,2.08,125792,180431,241510,98037,45077,67.4,2753,28
2016,California,486456,12.6,50.6,1.82,2011433,1805523,3102061,1812992,875222,68.1,18575,14
2016,Colorado,68806,12.8,53.0,1.91,202979,230606,415826,303715,146146,74.6,2659,16
2016,Connecticut,37545,10.5,44.2,1.59,124187,169195,252899,183660,118560,76,1318,11
2016,Delaware,11136,11.9,50.6,1.82,35679,52810,68030,40369,23304,74.2,364,12
2016,District of Columbia,9531,14.5,47.5,1.71,20268,31166,41736,51101,56399,78,353,18
2016,Florida,216349,10.9,47.9,1.72,752671,1064843,1556870,792910,353553,71.6,8697,15
2016,Georgia,139714,13.8,54.9,1.98,463593,555515,832846,451857,240794,70.1,7646,22
2016,Hawaii,20121,14.2,62.4,2.25,38203,76371,112652,66565,28618,73,636,16
2016,Idaho,22319,13.6,59.8,2.15,64407,87170,140275,61424,19883,69.2,884,16
2016,Illinois,157783,12.3,50.6,1.82,510243,606910,989644,658186,350786,74.1,6567,16
2016,Indiana,85814,13.0,55.2,1.99,281201,366496,535005,268614,103148,73,4409,20
2016,Iowa,41109,13.2,58.6,2.11,102099,131882,273416,142479,51615,79.5,1515,15
