Years,States,Total women with births,Birth rate,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Percent of women in labor force,Teenage pregnancy,Teenage birth Rate,Total population,Total sex ratio,Total households,Households with own children ,Median household income,"Marriage Rate Per 1,000 Women"
2017,United States,3994223,12.4,13105452,16069512,24932063,14765055,7544846,72.0,157388,15,321004407,97.0,118825921,33552189,57652,17.1
2017,Alabama,58732,12.1,211597,271194,403874,176743,87115,67.6,2903,18,4850771,94.0,1856695,493516,46472,15.1
2017,Alaska,10582,14.3,26089,41031,60978,32478,13587,74.2,408,18,738565,109.7,252536,80061,76114,25.3
2017,Arizona,85196,12.5,319514,330941,545369,256268,118911,69.1,3290,15,6809946,98.8,2482311,678438,53510,15.6
2017,Arkansas,40901,13.7,123583,178504,240093,99859,47491,67.9,2514,26,2977944,96.4,1147291,316212,43813,21.6
2017,California,478458,12.3,1960608,1823766,3079864,1861392,917215,68.4,16079,13,38982847,98.7,12888128,3998258,67169,16.2
2017,Colorado,69064,12.7,203685,232370,409682,314878,153519,74.9,2404,14,5436519,101.0,2082531,600061,65458,22.0
2017,Connecticut,36794,10.2,122186,166055,246719,184945,120251,76.1,1164,10,3594478,95.3,1361755,376268,73781,13.2
2017,Delaware,10598,11.2,35162,53169,66664,39430,24671,73.4,271,9,943732,93.8,352357,89595,63036,18.2
2017,District of Columbia,9567,14.2,19432,30576,41084,52311,59881,78.3,328,17,672391,90.3,277985,51248,77649,20.4
2017,Florida,220509,10.9,753345,1064256,1555740,826216,368964,71.7,7831,14,20278447,95.7,7510882,1818655,50883,15.7
2017,Georgia,136101,13.3,458915,556968,826647,461302,251628,70.5,6976,20,10201635,95.0,3663104,1111773,52977,17.3
2017,Hawaii,19748,13.9,37488,76482,111044,67604,28756,73.2,520,14,1421658,100.9,455502,119836,74923,17.5
2017,Idaho,22877,13.8,64480,86385,140494,63881,21103,69.2,810,14,1657375,100.5,609124,184691,50985,22.9
2017,Illinois,156704,12.2,500117,599863,973087,658725,360036,74.2,5474,13,12854526,96.5,4818452,1362943,61229,15.9
2017,Indiana,83517,12.6,277788,363496,526887,276987,107556,73.0,3805,17,6614418,97.1,2537189,720794,52182,19.7
2017,Iowa,41743,13.4,102307,131889,267735,145350,54693,79.7,1689,16,3118102,98.6,1251587,350647,56570,17.6
2017,Kansas,39414,13.6,109329,118993,235327,135765,63039,75.0,1687,17,2903820,99.2,1121943,330761,55477,20.8
2017,Kentucky,55402,12.5,173118,248369,366944,153971,88159,70.5,3028,21,4424376,97.0,1724514,469118,46535,21.2
